,title,soc_code,section_body
273,Information Clerks,43-4151,overall employment information clerk project show little no change despite limited employment growth opening information clerk project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment information clerk vary occupation see table much project employment growth hotel motel resort desk clerk reservation transportation ticket agent due recovery covid recession likely occur early projection decade increase use online ordering reservation system self service ticket kiosk limit demand worker local government continue need court municipal license clerk task prepare case docket draft agenda issue permit eligibility interviewer continue need determine whether government assistance unemployment social security benefit appropriate people apply however adoption technology data collection document processing enable people submit online response document likely limit demand interviewer clerk organization combine administrative function continue expand use technology need correspondence clerk file clerk order clerk human resource assistant addition employment project decline interviewer except eligibility loan business medical facility continue use online application platform streamline information collection intake process
274,Information Clerks,43-4161,overall employment information clerk project show little no change despite limited employment growth opening information clerk project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment information clerk vary occupation see table much project employment growth hotel motel resort desk clerk reservation transportation ticket agent due recovery covid recession likely occur early projection decade increase use online ordering reservation system self service ticket kiosk limit demand worker local government continue need court municipal license clerk task prepare case docket draft agenda issue permit eligibility interviewer continue need determine whether government assistance unemployment social security benefit appropriate people apply however adoption technology data collection document processing enable people submit online response document likely limit demand interviewer clerk organization combine administrative function continue expand use technology need correspondence clerk file clerk order clerk human resource assistant addition employment project decline interviewer except eligibility loan business medical facility continue use online application platform streamline information collection intake process
275,Information Clerks,43-4181,overall employment information clerk project show little no change despite limited employment growth opening information clerk project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment information clerk vary occupation see table much project employment growth hotel motel resort desk clerk reservation transportation ticket agent due recovery covid recession likely occur early projection decade increase use online ordering reservation system self service ticket kiosk limit demand worker local government continue need court municipal license clerk task prepare case docket draft agenda issue permit eligibility interviewer continue need determine whether government assistance unemployment social security benefit appropriate people apply however adoption technology data collection document processing enable people submit online response document likely limit demand interviewer clerk organization combine administrative function continue expand use technology need correspondence clerk file clerk order clerk human resource assistant addition employment project decline interviewer except eligibility loan business medical facility continue use online application platform streamline information collection intake process
276,Information Clerks,43-4199,overall employment information clerk project show little no change despite limited employment growth opening information clerk project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment information clerk vary occupation see table much project employment growth hotel motel resort desk clerk reservation transportation ticket agent due recovery covid recession likely occur early projection decade increase use online ordering reservation system self service ticket kiosk limit demand worker local government continue need court municipal license clerk task prepare case docket draft agenda issue permit eligibility interviewer continue need determine whether government assistance unemployment social security benefit appropriate people apply however adoption technology data collection document processing enable people submit online response document likely limit demand interviewer clerk organization combine administrative function continue expand use technology need correspondence clerk file clerk order clerk human resource assistant addition employment project decline interviewer except eligibility loan business medical facility continue use online application platform streamline information collection intake process
277,Information Security Analysts,15-1212,employment information security analyst project grow percent much fast average occupation opening information security analyst project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment high demand expect information security analyst cyberattack grow frequency analyst need create innovative solution prevent hacker steal critical information create problem computer network business focus enhance cybersecurity need information security analyst secure new technology outside threat hack shift remote work rise e commerce increase need enhanced security contribute project employment growth worker decade strong growth digital health service telehealth also increase datum security risk healthcare provider analyst likely need safeguard patient personal information datum
278,Instructional Coordinators,25-9031,employment instructional coordinator project grow percent fast average occupation opening instructional coordinator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment states school district continue hold accountable test score graduation rate put emphasis student achievement datum school increasingly turn instructional coordinator develop well curriculum improve teacher effectiveness training instructional coordinator provide teacher curriculum change teaching technique help school meet standard student achievement school seek additional training teacher demand instructional coordinator project grow
279,Insulation Workers,47-2131,overall employment insulation worker project grow percent slow average occupation despite limited employment growth opening insulation worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment continue need make new exist building system energy efficient drive demand mechanical insulation worker amount new home building retrofitting exist insulation continue link employment floor ceiling wall insulation worker projection decade
280,Insulation Workers,47-2132,overall employment insulation worker project grow percent slow average occupation despite limited employment growth opening insulation worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment continue need make new exist building system energy efficient drive demand mechanical insulation worker amount new home building retrofitting exist insulation continue link employment floor ceiling wall insulation worker projection decade
281,Insurance Sales Agents,41-3021,employment insurance sale agent project grow percent fast average occupation opening insurance sale agent project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment profitability insurance depend steady stream new customer demand insurance sale agent expect continue employment growth likely strong independent sale agent insurance rely brokerage less captive agent effort control cost many client research purchase insurance online reduce demand insurance sale agent service however agent still need help client understand option choose policy right many customer lack time expertise study different type insurance decide need continue rely advice insurance sale agent
282,Insurance Underwriters,13-2053,employment insurance underwriter project decline percent despite decline employment opening insurance underwriter project average decade opening expect result need replace worker transfer occupation exit labor force retire employment automated underwriting software allow worker process application quickly reduce need underwriter technology continue improve become widely adopt insurance industry underwriting decision expect make automatically however still need underwriter review update criterion run automation addition analytical insight need specific field worker compensation marine insurance health insurance
283,Interior Designers,27-1025,employment interior designer project show little no change despite limited employment growth opening interior designer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment demand renovation project increase homeowner expect need service provide interior designer help create safe functional space great focus building code well need design space meet accessibility standard also help create job worker however opportunity self employ interior designer renovate exist home commercial building facility
284,Interpreters and Translators,27-3091,employment interpreter translator project grow percent much fast average occupation opening interpreter translator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth reflect increase globalization diverse u population expect require interpreter translator demand likely remain strong translator frequently translate language french german portuguese russian spanish demand also strong translator arabic middle eastern language principal asian language include chinese japanese hindi korean indigenous language mexico central america mixtec zapotec mayan language demand american sign language interpreter expect grow due increase use video relay service allow people conduct online video call use sign language interpreter addition grow international trade broaden global tie require interpreter translator especially emerge market asia africa ongoing need military national security interpreter translator result job well computer make work translator localization specialist efficient however many job not entirely automate computer not yet produce work comparable work human translator case
285,Ironworkers,47-2171,overall employment ironworker project grow percent fast average occupation opening ironworker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment steel reinforce concrete important part commercial industrial building future construction structure expect require ironworker need fix maintain replace increase number old highway bridge also expect lead employment growth
286,Ironworkers,47-2221,overall employment ironworker project grow percent fast average occupation opening ironworker project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment steel reinforce concrete important part commercial industrial building future construction structure expect require ironworker need fix maintain replace increase number old highway bridge also expect lead employment growth
287,Janitors and Building Cleaners,37-2011,employment janitor building cleaner project grow percent fast average occupation opening janitor building cleaner project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment worker essential upkeep build interior service need meet continue demand clean healthy space
288,Jewelers and Precious Stone and Metal Workers,51-9071,employment jeweler precious stone metal worker project show little no change despite limited employment growth opening jeweler precious stone metal worker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment limited employment jewelry silverware manufacturing expect due increase import jewelry rise productivity additionally traditional jewelry store continue lose customer nontraditional seller department store online retailer shift also likely limit employment jeweler precious stone metal worker
289,Judges and Hearing Officers,23-1021,overall employment judge hear officer project show little no change despite limited employment growth opening judge hear officer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment worker play essential role legal system service continue need future however budgetary constraint federal local government limit ability government fill vacant judge hear officer position authorize new one governmental budget concern could limit employment growth opportunity hear officer administrative law judge work local federal government agency despite continue need worker settle dispute
290,Judges and Hearing Officers,23-1023,overall employment judge hear officer project show little no change despite limited employment growth opening judge hear officer project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment worker play essential role legal system service continue need future however budgetary constraint federal local government limit ability government fill vacant judge hear officer position authorize new one governmental budget concern could limit employment growth opportunity hear officer administrative law judge work local federal government agency despite continue need worker settle dispute
291,Kindergarten and Elementary School Teachers,25-2012,overall employment kindergarten elementary school teacher project grow percent fast average occupation opening kindergarten elementary school teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment number student enrol public kindergarten elementary school expect decrease projection decade however parent teacher support small class size number class remain stable result need teacher student school employment growth kindergarten elementary school teacher also depend local government budget local government budget deficit lay employee include teacher
292,Kindergarten and Elementary School Teachers,25-2021,overall employment kindergarten elementary school teacher project grow percent fast average occupation opening kindergarten elementary school teacher project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment number student enrol public kindergarten elementary school expect decrease projection decade however parent teacher support small class size number class remain stable result need teacher student school employment growth kindergarten elementary school teacher also depend local government budget local government budget deficit lay employee include teacher
293,Labor Relations Specialists,13-1075,employment labor relation specialist project decline percent despite decline employment opening labor relation specialist project average decade opening expect result need replace worker transfer occupation exit labor force retire employment union membership rate decline overall demand specialist limit however still need labor relation specialist expertise union negotiation contract dispute continue
294,Landscape Architects,17-1012,employment landscape architect project show little no change despite limited employment growth opening landscape architect project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment improving technology expect increase landscape architect productivity reduce overall demand occupation decade however continue need worker plan develop landscape commercial industrial residential project environmental concern effort conserve water prevent waterway pollution also create demand landscape architect
295,Lawyers,23-1011,employment lawyer project grow percent fast average occupation opening lawyer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand legal work expect continue individual business level government require legal service many area despite need legal service price competition projection decade lead law firm rethink project staff reduce cost client client expect cut back legal expense negotiate rate scrutinize invoice work previously assign lawyer document review assign instead paralegal legal assistant routine legal work outsource lower cost legal provider locate overseas although law firm continue among large employer lawyer many large corporation increase house legal department cut cost federal government likely continue need lawyer handle civil criminal action behalf united states however demand lawyer across level government contingent available funding
296,Librarians and Library Media Specialists,25-4022,employment librarians library medium specialist project grow percent fast average occupation opening librarian library medium specialist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment despite decline public traditional borrowing material library still need librarian host variety service activity therefore need librarian manage library help patron find information parent value learning opportunity librarie present child library information learn material child often not access home library patron expect continue attend event use library service child focus activity employment assistance
297,Library Technicians and Assistants,25-4031,overall employment library technician assistant project decline percent despite decline employment opening library technician assistant project average decade opening expect result need replace worker transfer occupation exit labor force retire employment library use decrease despite community effort rebrand library variety service activity decrease use reduce need library worker help patron find information operate library additionally budget constraint limit number library technician assistant local government education service
298,Library Technicians and Assistants,43-4121,overall employment library technician assistant project decline percent despite decline employment opening library technician assistant project average decade opening expect result need replace worker transfer occupation exit labor force retire employment library use decrease despite community effort rebrand library variety service activity decrease use reduce need library worker help patron find information operate library additionally budget constraint limit number library technician assistant local government education service
299,Licensed Practical and Licensed Vocational Nurses,29-2061,employment licensed practical licensed vocational nurse project grow percent fast average occupation opening licensed practical licensed vocational nurse project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment baby boom population age overall need healthcare service expect increase lpn lvn need residential care facility home health environment care old patient number chronic condition diabetes obesity become prevalent recent lpn lvn need assist care patient condition addition many procedure could hospital outside hospital create demand setting outpatient care center
300,Line Installers and Repairers,49-9051,overall employment line installer repairer project grow percent fast average occupation opening line installer repairer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment line installer repairer vary occupation see table employment electrical power line installer repairer expect grow largely due increase electrical grid need new housing development business complex new electric power line instal require maintenance addition interstate power grid continue become complex ensure reliability employment telecommunication line installer repairer expect grow telecommunication provider construct new broadband infrastructure not exist previously exist wire telecommunications equipment upgrade fiber optic cable improved capability
301,Line Installers and Repairers,49-9052,overall employment line installer repairer project grow percent fast average occupation opening line installer repairer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment line installer repairer vary occupation see table employment electrical power line installer repairer expect grow largely due increase electrical grid need new housing development business complex new electric power line instal require maintenance addition interstate power grid continue become complex ensure reliability employment telecommunication line installer repairer expect grow telecommunication provider construct new broadband infrastructure not exist previously exist wire telecommunications equipment upgrade fiber optic cable improved capability
302,Loan Officers,13-2072,employment loan officer project grow percent fast average occupation opening loan officer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment increase demand loan officer expect business individual seek credit finance commercial investment personal spending loan officer need evaluate creditworthiness applicant determine likelihood loan pay back full time however decline bank branch increase use productivity enhance technology loan processing expect slow employment growth
303,Lodging Managers,11-9081,employment lodge manager project grow percent much fast average occupation opening lodge manager project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment much project employment growth occupation due recovery covid recession likely occur early projection decade return pre pandemic travel spending pattern translate strong demand lodge manager hotel lodge establishment start projection decade stay traditional lodging establishment decline short term rental rise offer competition decline limit overall demand lodge manager
304,Logging Workers,45-4021,overall employment log worker project decline percent despite decline employment opening log worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment log worker vary occupation see table mechanization log operation improvement log equipment increase productivity expect reduce demand log worker especially work hand however need prevent destructive wildfire thin susceptible forest expect support demand log worker
305,Logging Workers,45-4022,overall employment log worker project decline percent despite decline employment opening log worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment log worker vary occupation see table mechanization log operation improvement log equipment increase productivity expect reduce demand log worker especially work hand however need prevent destructive wildfire thin susceptible forest expect support demand log worker
306,Logging Workers,45-4023,overall employment log worker project decline percent despite decline employment opening log worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment log worker vary occupation see table mechanization log operation improvement log equipment increase productivity expect reduce demand log worker especially work hand however need prevent destructive wildfire thin susceptible forest expect support demand log worker
307,Logging Workers,45-4029,overall employment log worker project decline percent despite decline employment opening log worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment log worker vary occupation see table mechanization log operation improvement log equipment increase productivity expect reduce demand log worker especially work hand however need prevent destructive wildfire thin susceptible forest expect support demand log worker
308,Logisticians,13-1081,employment logisticians project grow percent much fast average occupation opening logistician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment growth e commerce make logistic dynamic complex logistician demand move product efficiently solve problem identify area improvement increase volume inventory need manage multiple supply chain make logisticians work critical addition good purchase online timeliness delivery remain priority far increase demand worker
309,Machinists and Tool and Die Makers,51-4041,overall employment machinist tool die maker project show little no change despite limited employment growth opening machinist tool die maker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment machinist tool die maker vary occupation see table although machinist require set monitor maintain system computer numerically control cnc machine tool autoloader high speed machining employment growth expect limit improvement technology increase worker efficiency projection decade employment tool die maker expect decline advance automation include cnc machine tool reduce demand certain task worker program part fit together
310,Machinists and Tool and Die Makers,51-4111,overall employment machinist tool die maker project show little no change despite limited employment growth opening machinist tool die maker project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment machinist tool die maker vary occupation see table although machinist require set monitor maintain system computer numerically control cnc machine tool autoloader high speed machining employment growth expect limit improvement technology increase worker efficiency projection decade employment tool die maker expect decline advance automation include cnc machine tool reduce demand certain task worker program part fit together
311,Management Analysts,13-1111,employment management analyst project grow percent much fast average occupation opening management analyst project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand consulting service expect increase organization seek way improve efficiency control cost market become competitive firm need use resource efficiently information technology consultant expect see high demand business seek consulting firm help attain high level cybersecurity make sure system efficient date growth expect particularly strong small consulting specialize specific industry type business function information technology human resource government agency also expect seek service management analyst look way reduce spending improve efficiency
312,Manicurists and Pedicurists,39-5092,employment manicurist pedicurist project grow percent much fast average occupation opening manicurist pedicurist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment project increase employment reflect demand nail service mini session quick manicure low cost mobile manicure pedicure nail service offer outside salon desire among many woman grow number man lead healthy lifestyle well grooming wellness expect result high employment manicurist pedicurist consider low cost luxury service manicure pedicure continue demand individual income level
313,Marine Engineers and Naval Architects,17-2121,employment marine engineer naval architect project grow percent fast average occupation opening marine engineer naval architect project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment marine engineer naval architect expect need help design ship port facility meet increasingly strict international emission standard addition offshore wind energy project become feasible marine engineer naval architect expect need provide expertise construction wind platform
314,Market Research Analysts,13-1161,employment market research analyst project grow percent much fast average occupation opening market research analyst project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment employment growth drive increase use datum market research across many industry worker need help understand need want customer measure effectiveness marketing business strategy identify factor affect product demand increase collection analysis big dataextremely large set information social medium comment online product reviewscan provide insight consumer behavior preference business need market research analyst conduct analysis datum information
315,Marriage and Family Therapists,21-1013,employment marriage family therapist project grow percent much fast average occupation opening marriage family therapist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment growth expect due increase use integrated care treatment multiple problem one time group specialist provide integrated care marriage family therapist work counselor substance abuse behavior disorder mental health counselor address patient issue team
316,Masonry Workers,47-2021,overall employment masonry worker project decline percent despite decline employment opening masonry worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment masonry worker vary occupation see table employment mason link overall demand new building road construction masonry brick stone still popular interior exterior application change product installation practice expect decrease need mason example worker need install innovation thin brick allow building look brick construction low cost additionally increase use prefabricate panel reduce demand masonry worker panel create offsite either contractor manufacturer climate protect environment mason need install panel construction site employment terrazzo worker finisher expect decline due increase installation polished concrete shift work terrazzo worker cement mason concrete finisher
317,Masonry Workers,47-2022,overall employment masonry worker project decline percent despite decline employment opening masonry worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment masonry worker vary occupation see table employment mason link overall demand new building road construction masonry brick stone still popular interior exterior application change product installation practice expect decrease need mason example worker need install innovation thin brick allow building look brick construction low cost additionally increase use prefabricate panel reduce demand masonry worker panel create offsite either contractor manufacturer climate protect environment mason need install panel construction site employment terrazzo worker finisher expect decline due increase installation polished concrete shift work terrazzo worker cement mason concrete finisher
318,Masonry Workers,47-2051,overall employment masonry worker project decline percent despite decline employment opening masonry worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment masonry worker vary occupation see table employment mason link overall demand new building road construction masonry brick stone still popular interior exterior application change product installation practice expect decrease need mason example worker need install innovation thin brick allow building look brick construction low cost additionally increase use prefabricate panel reduce demand masonry worker panel create offsite either contractor manufacturer climate protect environment mason need install panel construction site employment terrazzo worker finisher expect decline due increase installation polished concrete shift work terrazzo worker cement mason concrete finisher
319,Masonry Workers,47-2053,overall employment masonry worker project decline percent despite decline employment opening masonry worker project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment masonry worker vary occupation see table employment mason link overall demand new building road construction masonry brick stone still popular interior exterior application change product installation practice expect decrease need mason example worker need install innovation thin brick allow building look brick construction low cost additionally increase use prefabricate panel reduce demand masonry worker panel create offsite either contractor manufacturer climate protect environment mason need install panel construction site employment terrazzo worker finisher expect decline due increase installation polished concrete shift work terrazzo worker cement mason concrete finisher
320,Massage Therapists,31-9011,employment massage therapist project grow percent much fast average occupation opening massage therapist project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment continue growth demand massage service lead new job massage therapist people recognize massage therapy way treat pain improve overall wellness demand massage therapist expect increase similarly demand likely increase healthcare provider understand benefit massage include service treatment plan however healthcare setting demand temper limited insurance coverage massage service addition many sport team hire massage therapist help athlete recover injury relieve manage pain increase demand worker
321,Material Moving Machine Operators,53-7011,overall employment material move machine operator project grow percent fast average occupation opening material move machine operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment material move machine operator vary occupation see table material move machine operator need move material product various location warehouse stockpile processing station continued growth e commerce contribute amount material product need move however expansion automate machinery limit employment growth material move machine operator technology sensor scanner improve operation increase efficiency
322,Material Moving Machine Operators,53-7021,overall employment material move machine operator project grow percent fast average occupation opening material move machine operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment material move machine operator vary occupation see table material move machine operator need move material product various location warehouse stockpile processing station continued growth e commerce contribute amount material product need move however expansion automate machinery limit employment growth material move machine operator technology sensor scanner improve operation increase efficiency
323,Material Moving Machine Operators,53-7031,overall employment material move machine operator project grow percent fast average occupation opening material move machine operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment material move machine operator vary occupation see table material move machine operator need move material product various location warehouse stockpile processing station continued growth e commerce contribute amount material product need move however expansion automate machinery limit employment growth material move machine operator technology sensor scanner improve operation increase efficiency
324,Material Moving Machine Operators,53-7041,overall employment material move machine operator project grow percent fast average occupation opening material move machine operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment material move machine operator vary occupation see table material move machine operator need move material product various location warehouse stockpile processing station continued growth e commerce contribute amount material product need move however expansion automate machinery limit employment growth material move machine operator technology sensor scanner improve operation increase efficiency
325,Material Moving Machine Operators,53-7051,overall employment material move machine operator project grow percent fast average occupation opening material move machine operator project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment material move machine operator vary occupation see table material move machine operator need move material product various location warehouse stockpile processing station continued growth e commerce contribute amount material product need move however expansion automate machinery limit employment growth material move machine operator technology sensor scanner improve operation increase efficiency
326,Material Recording Clerks,43-5061,overall employment material recording clerk project decline percent despite decline employment opening material recording clerk project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment material recording clerk vary occupation see table e commerce continue grow expand use automate storage retrieval tool meet rise demand product fast delivery type technology include radio frequency identification rfid tag collaborative robot improve efficiency many warehouse operation demand shipping receiving inventory clerk limit use technology expand increase productivity manual task improve efficiency however employment production planning expedite clerk project increase task remain difficult automate
327,Material Recording Clerks,43-5071,overall employment material recording clerk project decline percent despite decline employment opening material recording clerk project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment material recording clerk vary occupation see table e commerce continue grow expand use automate storage retrieval tool meet rise demand product fast delivery type technology include radio frequency identification rfid tag collaborative robot improve efficiency many warehouse operation demand shipping receiving inventory clerk limit use technology expand increase productivity manual task improve efficiency however employment production planning expedite clerk project increase task remain difficult automate
328,Material Recording Clerks,43-5111,overall employment material recording clerk project decline percent despite decline employment opening material recording clerk project average decade opening expect result need replace worker transfer occupation exit labor force retire employment projected employment material recording clerk vary occupation see table e commerce continue grow expand use automate storage retrieval tool meet rise demand product fast delivery type technology include radio frequency identification rfid tag collaborative robot improve efficiency many warehouse operation demand shipping receiving inventory clerk limit use technology expand increase productivity manual task improve efficiency however employment production planning expedite clerk project increase task remain difficult automate
329,Materials Engineers,17-2131,employment material engineer project grow percent fast average occupation opening material engineer project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment demand new material manufacturing process continue increase material engineer expect need help develop product system example new metal alloy expect develop make airplane light fuel efficient great focus environmental sustainability also create demand material engineer
330,Mathematicians and Statisticians,15-2021,overall employment mathematician statistician project grow percent much fast average occupation opening mathematician statistician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment mathematician statistician vary occupation see table employment growth statistician expect result widespread use statistical analysis inform business healthcare policy decision amount digitally store datum increase projection decade people continue conduct business online use social medium smartphone mobile device result business increasingly need statistician analyze large amount information datum collect statistical analysis help improve business process design develop new product advertise product potential customer
331,Mathematicians and Statisticians,15-2041,overall employment mathematician statistician project grow percent much fast average occupation opening mathematician statistician project average decade many opening expect result need replace worker transfer different occupation exit labor force retire employment projected employment mathematician statistician vary occupation see table employment growth statistician expect result widespread use statistical analysis inform business healthcare policy decision amount digitally store datum increase projection decade people continue conduct business online use social medium smartphone mobile device result business increasingly need statistician analyze large amount information datum collect statistical analysis help improve business process design develop new product advertise product potential customer
332,Mechanical Engineering Technologists and Technicians,17-3027,employment mechanical engineering technologist technician project grow percent slow average occupation despite limited employment growth opening mechanical engineering technologist technician project average decade opening expect result need replace worker transfer different occupation exit labor force retire employment mechanical engineering technologist technician directly supervise mechanical engineer employment growth drive many factor drive employment growth mechanical engineer example manufacturing process incorporate complex automation machinery mechanical engineering technologist technician expect need help plan design equipment
